Datum,Opis,Isplata,Uplata,Primalac/Platilac,Kategorija
03.11.2025,"Bezgotovinskiprenos
uRSD",3543.0,0.0,"A1SRBIJAD.O.O.
BEOGRAD",📱 Računi i usluge
03.11.2025,"Bezgotovinskiprenos
uRSD",1000.0,0.0,"KPADVERTAJZING
DOO",❓ Ostalo
03.11.2025,"Isplatasaračuna-
plaćanjeračuna",3180.34,0.0,A1,📱 Računi i usluge
03.11.2025,Kupovina,36625.0,0.0,"SURCOLAKOVA
KAFANACACAK
688",🍔 Restorani i dostava
03.11.2025,Kupovina,2350.0,0.0,"CHIPCARDAD*CC
DEXPRE
BEOGRAD688",❓ Ostalo
03.11.2025,"Isplatagotovinena
ATM-u",5000.0,0.0,"BANCAINTESA
BEOGRADCACAK
688",💵 Gotovina (ATM)
03.11.2025,Kupovinanarate,7195.0,0.0,"AKSACACAK1/6
CACAK688",❓ Ostalo
04.11.2025,"Neto(OPJ1-1101):
OKT2025",0.0,3650.0,"FinTechSolutions
CEEDOO",❓ Ostalo
04.11.2025,"Netozarada:OKT
2025/1",0.0,394780.1,"FinTechSolutions
CEEDOO",👗 Odeća i obuća
04.11.2025,"Bezgotovinskiprenos
uRSD",5000.04,0.0,NISA.D.NOVISAD,⛽ Gorivo
04.11.2025,Kupovina,1586.25,0.0,"PRODAJA
MESOVITEROBE
KMNCACAK688",🛒 Marketi
04.11.2025,Kupovina,864.74,0.0,"PAYSPOT
VUCKOVICM1
CACAK688",🏥 Apoteke
04.11.2025,Kupovina,1099.9,0.0,"MP170CACAK
TEKSTILCACAK
688",❓ Ostalo
04.11.2025,Kupovina,3755.85,0.0,"213-MAXI470
CACAK688",🛒 Marketi
04.11.2025,Kupovina,566.98,0.0,"PRODAJA
MESOVITEROBE
KMNCACAK688",🛒 Marketi
05.11.2025,Kupovina,1163.03,0.0,"AKSACACAK
CACAK688",❓ Ostalo
05.11.2025,Kupovina,8241.21,0.0,"APOTEKACACAK
CACAK688",🏥 Apoteke
05.11.2025,Kupovina,1168.0,0.0,"DMFILIJALAJ073
CACAK688",❓ Ostalo
05.11.2025,Kupovina,619.62,0.0,"PRODAJA
MESOVITEROBE
KMNCACAK688",🛒 Marketi
05.11.2025,"Isplatagotovinena
ATM-u",10000.0,0.0,"BANCAINTESA
BEOGRADCACAK
688",💵 Gotovina (ATM)
05.11.2025,"Bezgotovinskiprenos
uRSD",1560.1,0.0,"""VODOVOD""JKP
CACAK",📱 Računi i usluge
06.11.2025,"Bezgotovinskiprenos
uRSD",3261.88,0.0,NISA.D.NOVISAD,⛽ Gorivo
06.11.2025,Kupovina,3034.97,0.0,"PAYSPOT
VUCKOVICM1
CACAK688",🏥 Apoteke
06.11.2025,Kupovina,1208.18,0.0,"PRODAJA
MESOVITEROBE
KMNCACAK688",🛒 Marketi
06.11.2025,Kupovina,4884.94,0.0,"214-TEMPO005
CACAK688",🛒 Marketi
07.11.2025,Kupovina,655.95,0.0,"214-TEMPO005
CACAK688",🛒 Marketi
07.11.2025,Kupovina,1656.0,0.0,"PAYSPOT
VUCKOVICM2
CACAK688",🏥 Apoteke
07.11.2025,Kupovina,1690.0,0.0,"WOBYHAUS
CACAKCENTAR
CACACAK688",❓ Ostalo
07.11.2025,Kupovina,239.09,0.0,"APPLE.COM/BILL
08000000888372",💻 Tech i pretplate
10.11.2025,Kupovina,2423.06,0.0,"AKSACACAK
CACAK688",❓ Ostalo
10.11.2025,Kupovina,3099.98,0.0,"PLANETASPORT
081Cacak688",👗 Odeća i obuća
10.11.2025,Kupovina,587.45,0.0,"PAYSPOT
VUCKOVICM1
CACAK688",🏥 Apoteke
10.11.2025,Kupovina,10011.45,0.0,"LIDL141Čačak
Čačak688",🛒 Marketi
12.11.2025,Kupovina,404.2,0.0,"JPPUTEVISRBIJE
ECOMMER
BEOGRAD688",❓ Ostalo
